    Molecular point group: c1
    Full point group: C1

    Geometry (in Angstrom), charge = 0, multiplicity = 1:

       Center              X                  Y                   Z       
    ------------   -----------------  -----------------  -----------------
         C           -2.263202137412    -0.746591527927    -0.201109242920
         C           -1.260842137412    -0.697311527927    -1.186539242920
         C           -1.890822137412    -0.707941527927     1.146810757080
         H           -2.658482137412    -0.762921527927     1.908310757080
         C            0.082777862588    -0.582401527927    -0.823399242920
         C           -0.544252137412    -0.594341527927     1.517670757080
         C            0.454847862588    -0.514921527927     0.532680757080
         O            1.752427862588    -0.415591527927     0.927140757080
         C            2.810507862588     0.124348472073     0.261840757080
         C            2.654277862588     1.167008472073    -0.797729242920
         C            4.049407862588    -0.274011527927     0.604000757080
         C            3.734217862588     1.678048472073    -1.412319242920
         C            5.241267862588     0.286428472073    -0.076919242920
         H            1.673717862588     1.537538472073    -1.074689242920
         C            5.100737862588     1.215908472073    -1.042639242920
         H            4.186877862588    -1.019651527927     1.381500757080
         H            3.601307862588     2.437788472073    -2.176629242920
         C           -5.408342137412    -1.108081527927    -1.920129242920
         C           -6.176702137412    -0.732571527927    -3.131799242920
         C           -4.244652137412    -0.495661527927    -1.627519242920
         C           -5.722062137412     0.234778472073    -3.943739242920
         C           -3.754102137412     0.593168472073    -2.529869242920
         H           -7.107162137412    -1.242491527927    -3.360109242920
         C           -4.455262137412     0.933028472073    -3.624879242920
         O           -3.583582137412    -0.871371527927    -0.497659242920
         H           -6.283532137412     0.511648472073    -4.830289242920
         H           -2.840402137412     1.132988472073    -2.308209242920
         H           -4.099382137412     1.725908472073    -4.275079242920
         H           -5.791392137412    -1.890971527927    -1.272349242920
         H           -1.505152137412    -0.765401527927    -2.237249242920
         H            0.826327862588    -0.565581527927    -1.607849242920
         S           -0.100482137412    -0.538441527927     3.259670757080
         O           -1.288952137412    -0.899081527927     4.163990757080
         O            0.895057862588    -1.644261527927     3.643520757080
         O            0.530827862588     0.915018472073     3.922320757080
         H            1.476467862588     0.939878472073     3.628380757080
         H            6.226147862588    -0.065871527927     0.216440757080
         C            6.295237862588     1.770448472073    -1.716939242920
         O            6.184547862588     2.614858472073    -2.591619242920
         H            7.287587862588     1.428978472073    -1.438239242920

