    Molecular point group: c1
    Full point group: C1

    Geometry (in Angstrom), charge = 0, multiplicity = 1:

       Center              X                  Y                   Z       
    ------------   -----------------  -----------------  -----------------
         C            0.682946820412    -0.163807137166     2.543607264888
         C           -0.023763179588    -0.064197137166     1.218977264888
         C           -1.426933179588    -0.005497137166     1.189947264888
         H           -1.999373179588    -0.031317137166     2.109027264888
         C           -2.107133179588     0.087112862834    -0.024052735112
         H           -3.188673179588     0.131722862834    -0.034552735112
         C           -1.398513179588     0.122412862834    -1.224262735112
         H           -1.946293179588     0.194522862834    -2.155762735112
         C            0.003576820412     0.065192862834    -1.222212735112
         C            0.759086820412     0.103892862834    -2.521622735112
         C            0.698486820412    -0.028497137166     0.000897264888
         O            2.050466820412    -0.082427137166    -0.020312735112
         H            0.075046820412     0.178372862834    -3.393662735112
         H            1.362686820412    -0.821757137166    -2.630502735112
         H            1.436236820412     0.983842862834    -2.533972735112
         H           -0.032693179588    -0.180077137166     3.393057264888
         H            1.354526820412     0.710212862834     2.677367264888
         H            1.280846820412    -1.098667137166     2.580647264888
         H            2.600216820412    -0.147167137166     0.771787264888

