    Molecular point group: c1
    Full point group: C1

    Geometry (in Angstrom), charge = 0, multiplicity = 1:

       Center              X                  Y                   Z       
    ------------   -----------------  -----------------  -----------------
         N           -8.617008332645     1.198989106035    -0.248311929715
         C           -7.609868332645     2.095559106035    -0.432511929715
         C           -6.359918332645     1.366169106035    -0.215931929715
         C           -8.153708332645    -0.033190893965     0.100058070285
         C           -6.696328332645     0.078569106035     0.149998070285
         H           -9.595288332645     1.426569106035    -0.325391929715
         O           -7.698568332645     3.278859106035    -0.695301929715
         O           -8.791808332645    -1.038080893965     0.328048070285
         C           -5.041588332645     1.780739106035    -0.301341929715
         C           -5.739958332645    -0.834040893965     0.531358070285
         C           -4.401818332645    -0.409510893965     0.518628070285
         C           -4.016538332645     0.860809106035     0.022778070285
         H           -4.818498332645     2.803789106035    -0.595131929715
         H           -6.016548332645    -1.831570893965     0.858558070285
         H           -3.668648332645    -1.100520893965     0.924538070285
         C           -2.578288332645     1.364579106035    -0.073841929715
         C           -1.360628332645     0.455909106035    -0.223871929715
         C           -0.086938332645     1.077299106035    -0.214071929715
         C            1.049771667355     0.280969106035    -0.203051929715
         C           -1.400498332645    -0.947550893965    -0.365691929715
         C           -0.245308332645    -1.731400893965    -0.240431929715
         C            0.961441667355    -1.077760893965    -0.111581929715
         C            2.298901667355    -1.582520893965     0.159958070285
         N            3.194861667355    -0.547540893965    -0.032831929715
         C            2.471421667355     0.599149106035    -0.319871929715
         C            4.645881667355    -0.658250893965     0.044678070285
         C            5.488651667355     0.460199106035     0.380768070285
         C            6.918451667355     0.352049106035     0.343048070285
         C            5.313801667355    -1.893850893965    -0.208651929715
         C            6.711211667355    -2.004110893965    -0.029841929715
         C            7.517411667355    -0.907440893965     0.250138070285
         C            4.951471667355     1.801629106035     0.836148070285
         N            7.734851667355     1.473789106035     0.625648070285
         H           -0.295218332645    -2.815850893965    -0.255281929715
         H           -2.329398332645    -1.473160893965    -0.558901929715
         H            0.014441667355     2.160279106035    -0.197601929715
         O            2.793491667355     1.692059106035    -0.752121929715
         O            2.413221667355    -2.708490893965     0.610538070285
         C            4.686321667355    -3.180860893965    -0.687791929715
         H            3.847261667355    -3.003040893965    -1.363821929715
         H            4.402051667355    -3.806250893965     0.164088070285
         H            5.402691667355    -3.767320893965    -1.277081929715
         C            9.000381667355    -1.113660893965     0.401968070285
         H           -2.536758332645     2.057169106035    -0.926281929715
         H           -2.416438332645     1.960749106035     0.835948070285
         H            7.183791667355    -2.980230893965    -0.146011929715
         H            9.264781667355    -2.176850893965     0.392338070285
         H            9.348301667355    -0.705930893965     1.356948070285
         H            9.538131667355    -0.631660893965    -0.420641929715
         H            3.994161667355     1.710739106035     1.352688070285
         H            4.888611667355     2.488429106035    -0.014181929715
         H            5.602401667355     2.265179106035     1.585658070285
         H            7.337851667355     2.342269106035     0.278608070285
         H            8.689441667355     1.369339106035     0.297788070285

