    Molecular point group: c1
    Full point group: C1

    Geometry (in Angstrom), charge = 0, multiplicity = 1:

       Center              X                  Y                   Z       
    ------------   -----------------  -----------------  -----------------
         C           -0.777815449103     2.367274483850    -0.314511748687
         C           -1.966115449103     1.486174483850     0.117588251313
         H           -0.942315449103     3.396274483850     0.013088251313
         O           -1.685815449103     0.112574483850    -0.243511748687
         C           -0.457015449103    -0.410525516150     0.316988251313
         H            0.481284550897     1.881874483850     1.389788251313
         O            0.661584550897     0.423474483850    -0.075611748687
         H            1.847184550897     2.500174483850    -1.297211748687
         C            0.527884550897     1.815474483850     0.298888251313
         H           -0.706715449103     2.370474483850    -1.405311748687
         H           -2.109615449103     1.548074483850     1.199988251313
         H            2.673384550897     2.164474483850     0.233188251313
         C           -0.241515449103    -1.836225516150    -0.227411748687
         H            2.018584550897    -4.426425516150     0.402788251313
         H            0.273784550897    -4.565425516150     0.132688251313
         H            1.327684550897    -3.959025516150    -1.159411748687
         H           -0.539815449103    -0.408425516150     1.414988251313
         C            0.969884550897    -2.522125516150     0.440088251313
         H           -1.141215449103    -2.428425516150    -0.042511748687
         H           -0.093715449103    -1.794225516150    -1.309611748687
         C            1.157484550897    -3.959325516150    -0.080211748687
         H            1.877984550897    -1.948125516150     0.240188251313
         H            0.826984550897    -2.546325516150     1.522988251313
         C            1.764784550897     2.577674483850    -0.210511748687
         H           -2.879915449103     1.807574483850    -0.388811748687
         H            1.701884550897     3.634374483850     0.058788251313

