    Molecular point group: c1
    Full point group: C1

    Geometry (in Angstrom), charge = 0, multiplicity = 1:

       Center              X                  Y                   Z       
    ------------   -----------------  -----------------  -----------------
         C            6.791783174943    -0.175531343822    -0.853376852712
         C            5.522523174943    -0.546501343822    -0.081666852712
         H            5.447453174943    -1.654561343822    -0.018836852712
         H            5.589423174943    -0.134131343822     0.949293147288
         C            4.270583174943     0.011528656178    -0.769756852712
         H            4.349453174943     1.119378656178    -0.832896852712
         H            4.200343174943    -0.402001343822    -1.800086852712
         C            3.007473174943    -0.361791343822     0.014533147288
         H            2.929593174943    -1.469811343822     0.077663147288
         H            3.083743174943     0.050358656178     1.045123147288
         C            1.746723174943     0.195648656178    -0.657536852712
         H            1.823373174943     1.303618656178    -0.721386852712
         H            1.663113174943    -0.217691343822    -1.686936852712
         C            0.495753174943    -0.179871343822     0.145473147288
         H            0.421053174943    -1.288051343822     0.209613147288
         H            0.586753174943     0.232298656178     1.174853147288
         C           -0.776636825057     0.374368656178    -0.506206852712
         H           -0.704116825057     1.482548656178    -0.571096852712
         H           -0.874976825057    -0.039141343822    -1.534226852712
         C           -2.014006825057    -0.005261343822     0.316363147288
         H           -2.083836825057    -1.113641343822     0.382233147288
         H           -1.909666825057     0.407908656178     1.344083147288
         C           -3.297106825057     0.543648656178    -0.317966852712
         H           -3.229446825057     1.652058656178    -0.384346852712
         H           -3.406456825057     0.129268656178    -1.344526852712
         C           -4.524226825057     0.160098656178     0.518463147288
         H           -4.589686825057    -0.948661343822     0.584663147288
         H           -4.411396825057     0.575988656178     1.544343147288
         C           -5.815566825057     0.705738656178    -0.107936852712
         H           -5.752106825057     1.813078656178    -0.175846852712
         H           -5.930866825057     0.291398656178    -1.132546852712
         C           -7.047096825057     0.353378656178     0.683163147288
         N            7.967193174943    -0.726051343822    -0.186176852712
         H            6.885793174943     0.931468656178    -0.921726852712
         H            6.732353174943    -0.592331343822    -1.882666852712
         H            8.065543174943    -0.284951343822     0.757363147288
         H            8.814563174943    -0.475021343822    -0.744976852712
         O           -6.985126825057    -0.301001343822     1.713123147288
         H           -8.015096825057     0.690498656178     0.327993147288

