    Molecular point group: c1
    Full point group: C1

    Geometry (in Angstrom), charge = 0, multiplicity = 1:

       Center              X                  Y                   Z       
    ------------   -----------------  -----------------  -----------------
         C            0.936782903969     1.944960079160     2.665759123694
         C            1.393482903969     0.570860079160     3.188159123694
         O            0.088482903969     1.786560079160     1.501859123694
         O            2.155982903969     0.776360079160     4.400759123694
         C            0.763682903969     1.425560079160     0.273759123694
         O            0.391482903969     0.997760079160    -2.075240876306
         C           -0.435917096031     0.960460079160    -3.264040876306
         C           -0.281017096031     1.374160079160    -0.850340876306
         O            2.521582903969    -1.451339920840     4.655459123694
         O           -2.078217096031    -0.325339920840    -4.493640876306
         C           -4.510617096031    -2.155539920840    -6.428740876306
         C           -1.343817096031    -0.282539920840    -3.247540876306
         C            2.658782903969    -0.303939920840     5.036559123694
         C            3.993082903969    -0.846339920840     7.046959123694
         C            3.406182903969     0.067860079160     6.259259123694
         C           -2.942617096031    -1.342839920840    -4.697440876306
         C           -3.610017096031    -1.250439920840    -6.015740876306
         O           -3.156817096031    -2.233539920840    -3.896640876306
         H            1.799982903969     2.567060079160     2.412459123694
         H            0.354582903969     2.446360079160     3.443659123694
         H            2.027182903969     0.069560079160     2.451759123694
         H            0.523382903969    -0.053639920840     3.410959123694
         H            1.235682903969     0.445660079160     0.382359123694
         H            1.523182903969     2.177560079160     0.040859123694
         H            0.223682903969     0.908360079160    -4.134540876306
         H           -1.034517096031     1.873760079160    -3.326940876306
         H           -0.741217096031     2.358660079160    -0.975040876306
         H           -1.049217096031     0.636160079160    -0.605140876306
         H           -4.987517096031    -2.066739920840    -7.401240876306
         H           -4.793817096031    -3.004139920840    -5.810540876306
         H           -2.054817096031    -0.229739920840    -2.418740876306
         H           -0.737417096031    -1.188439920840    -3.155140876306
         H            4.536482903969    -0.549339920840     7.939959123694
         H            3.946782903969    -1.909339920840     6.822459123694
         H            3.463882903969     1.128360079160     6.501659123694
         H           -3.339617096031    -0.407139920840    -6.650140876306

